,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,img_seg_path,str_code,Unnamed: 0.1,Unnamed: 0,year,month,day,hour,minute,path_dyamond,UTC
483,483.0,483.0,483,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-06.nc,2016-9-6-3-0,1733,1733,2016,9,6,3,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000416160,17050.06
484,484.0,484.0,484,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-44.nc,2016-9-6-22-0,1771,1771,2016,9,6,22,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000425280,17050.44
485,485.0,485.0,485,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-20.nc,2016-9-6-10-0,1747,1747,2016,9,6,10,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000419520,17050.2
486,486.0,486.0,486,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-38.nc,2016-9-6-19-0,1765,1765,2016,9,6,19,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000423840,17050.38
487,487.0,487.0,487,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-32.nc,2016-9-6-16-0,1759,1759,2016,9,6,16,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000422400,17050.32
488,488.0,488.0,488,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-01.nc,2016-9-6-0-30,1728,1728,2016,9,6,0,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000415200,17050.01
489,489.0,489.0,489,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-09.nc,2016-9-6-4-30,1736,1736,2016,9,6,4,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000416880,17050.09
490,490.0,490.0,490,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-43.nc,2016-9-6-21-30,1770,1770,2016,9,6,21,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000425040,17050.43
491,491.0,491.0,491,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-03.nc,2016-9-6-1-30,1730,1730,2016,9,6,1,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000415440,17050.03
492,492.0,492.0,492,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-24.nc,2016-9-6-12-0,1751,1751,2016,9,6,12,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000420480,17050.24
493,493.0,493.0,493,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-07.nc,2016-9-6-3-30,1734,1734,2016,9,6,3,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000416400,17050.07
494,494.0,494.0,494,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-11.nc,2016-9-6-5-30,1738,1738,2016,9,6,5,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000417360,17050.11
495,495.0,495.0,495,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-23.nc,2016-9-6-11-30,1750,1750,2016,9,6,11,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000420240,17050.23
496,496.0,496.0,496,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-27.nc,2016-9-6-13-30,1754,1754,2016,9,6,13,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000421200,17050.27
